2025-09-10 22:36:27 | DEBUG    | routes.websocket:ws_endpoint:55 - Received message from 1ba61ea3-4c5a-451a-aec8-4257f49370a5 in room b9131d: type=laydown
2025-09-10 22:36:27 | INFO     | routes.websocket:ws_endpoint:126 - Laydown attempt by 1ba61ea3-4c5a-451a-aec8-4257f49370a5: hearts lower in room b9131d
2025-09-10 22:36:27 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting laydown_started to 6 players in room b9131d
2025-09-10 22:36:27 | INFO     | routes.websocket:ws_endpoint:135 - Laydown result: SUCCESS - hearts lower by 1ba61ea3-4c5a-451a-aec8-4257f49370a5
2025-09-10 22:36:27 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting laydown_result to 6 players in room b9131d
2025-09-10 22:36:39 | DEBUG    | routes.websocket:ws_endpoint:55 - Received message from 1ba61ea3-4c5a-451a-aec8-4257f49370a5 in room b9131d: type=laydown
2025-09-10 22:36:39 | INFO     | routes.websocket:ws_endpoint:126 - Laydown attempt by 1ba61ea3-4c5a-451a-aec8-4257f49370a5: diamonds upper in room b9131d
2025-09-10 22:36:39 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting laydown_started to 6 players in room b9131d
2025-09-10 22:36:39 | INFO     | game:check_game_end:487 - Game ended in room b9131d: Winner=B, A=30, B=170, Sets=8
2025-09-10 22:36:39 | INFO     | routes.websocket:ws_endpoint:135 - Laydown result: FAILED - diamonds upper by 1ba61ea3-4c5a-451a-aec8-4257f49370a5
2025-09-10 22:36:39 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting laydown_result to 6 players in room b9131d
2025-09-10 22:37:29 | DEBUG    | routes.websocket:ws_endpoint:55 - Received message from 1ba61ea3-4c5a-451a-aec8-4257f49370a5 in room b9131d: type=shuffle_deal
2025-09-10 22:52:46 | INFO     | services.game_service:get_or_create_room:13 - Created new game room: 035a39
2025-09-10 22:55:40 | INFO     | game:start:77 - Game started in room 035a39, dealer: 83051e4c-6756-4a81-ab58-1e945922e950
2025-09-10 22:59:47 | DEBUG    | routes.websocket:ws_endpoint:55 - Received message from 83051e4c-6756-4a81-ab58-1e945922e950 in room 035a39: type=shuffle_deal
2025-09-10 23:01:47 | INFO     | services.game_service:get_or_create_room:13 - Created new game room: 9a1600
2025-09-10 23:03:49 | INFO     | game:start:77 - Game started in room 9a1600, dealer: 6d7b1f08-a42f-4a28-97d2-a8b2e1a7c262
