2025-09-10 22:27:45 | WARNING  | services.websocket_service:broadcast:26 - Failed to send message to player b08afdd5-5da0-4051-9d3d-0beec2d772ed in room 80d085: 
2025-09-10 22:27:45 | WARNING  | services.websocket_service:broadcast:26 - Failed to send message to player 1ba61ea3-4c5a-451a-aec8-4257f49370a5 in room 80d085: 
2025-09-10 22:27:45 | INFO     | services.websocket_service:broadcast:32 - Removed dead connection for player 5eb1899e-78e8-4784-aa20-6c4c1cbe27f4 in room 80d085
2025-09-10 22:27:45 | INFO     | services.websocket_service:broadcast:32 - Removed dead connection for player 88b5937f-18df-4bfc-8d83-dfdb6357dbdf in room 80d085
2025-09-10 22:27:45 | INFO     | services.websocket_service:broadcast:32 - Removed dead connection for player 37ea0e3a-ba11-4fc8-a89f-d45f3bb8db44 in room 80d085
2025-09-10 22:27:45 | INFO     | services.websocket_service:broadcast:32 - Removed dead connection for player b08afdd5-5da0-4051-9d3d-0beec2d772ed in room 80d085
2025-09-10 22:27:45 | INFO     | services.websocket_service:broadcast:32 - Removed dead connection for player 1ba61ea3-4c5a-451a-aec8-4257f49370a5 in room 80d085
2025-09-10 22:27:45 | INFO     | routes.websocket:ws_endpoint:209 - WebSocket disconnected: room=80d085, player=b08afdd5-5da0-4051-9d3d-0beec2d772ed
2025-09-10 22:27:45 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting player_disconnected to 0 players in room 80d085
2025-09-10 22:27:45 | INFO     | routes.websocket:ws_endpoint:209 - WebSocket disconnected: room=80d085, player=88b5937f-18df-4bfc-8d83-dfdb6357dbdf
2025-09-10 22:27:45 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting player_disconnected to 0 players in room 80d085
2025-09-10 22:27:45 | INFO     | routes.websocket:ws_endpoint:209 - WebSocket disconnected: room=80d085, player=1ba61ea3-4c5a-451a-aec8-4257f49370a5
2025-09-10 22:27:45 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting player_disconnected to 0 players in room 80d085
2025-09-10 22:27:45 | INFO     | routes.websocket:ws_endpoint:209 - WebSocket disconnected: room=80d085, player=37ea0e3a-ba11-4fc8-a89f-d45f3bb8db44
2025-09-10 22:27:45 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting player_disconnected to 0 players in room 80d085
2025-09-10 22:27:45 | INFO     | routes.websocket:ws_endpoint:209 - WebSocket disconnected: room=80d085, player=5eb1899e-78e8-4784-aa20-6c4c1cbe27f4
2025-09-10 22:27:45 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting player_disconnected to 0 players in room 80d085
2025-09-10 22:27:45 | INFO     | routes.websocket:ws_endpoint:209 - WebSocket disconnected: room=80d085, player=37ea0e3a-ba11-4fc8-a89f-d45f3bb8db44
2025-09-10 22:27:45 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting player_disconnected to 0 players in room 80d085
2025-09-10 22:27:45 | INFO     | routes.websocket:ws_endpoint:209 - WebSocket disconnected: room=80d085, player=b08afdd5-5da0-4051-9d3d-0beec2d772ed
2025-09-10 22:27:45 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting player_disconnected to 0 players in room 80d085
2025-09-10 22:27:45 | INFO     | routes.websocket:ws_endpoint:209 - WebSocket disconnected: room=80d085, player=88b5937f-18df-4bfc-8d83-dfdb6357dbdf
2025-09-10 22:27:45 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting player_disconnected to 0 players in room 80d085
2025-09-10 22:27:45 | INFO     | routes.websocket:ws_endpoint:209 - WebSocket disconnected: room=80d085, player=83051e4c-6756-4a81-ab58-1e945922e950
2025-09-10 22:27:45 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting player_disconnected to 0 players in room 80d085
2025-09-10 22:27:45 | INFO     | routes.websocket:ws_endpoint:209 - WebSocket disconnected: room=80d085, player=1ba61ea3-4c5a-451a-aec8-4257f49370a5
2025-09-10 22:27:45 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting player_disconnected to 0 players in room 80d085
2025-09-10 22:27:45 | INFO     | routes.websocket:ws_endpoint:209 - WebSocket disconnected: room=80d085, player=5eb1899e-78e8-4784-aa20-6c4c1cbe27f4
2025-09-10 22:27:45 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting player_disconnected to 0 players in room 80d085
2025-09-10 22:27:48 | INFO     | routes.websocket:ws_endpoint:14 - WebSocket connection attempt: room=80d085, player=5eb1899e-78e8-4784-aa20-6c4c1cbe27f4
2025-09-10 22:27:48 | WARNING  | routes.websocket:ws_endpoint:27 - Unknown player 5eb1899e-78e8-4784-aa20-6c4c1cbe27f4 connected to room 80d085
2025-09-10 22:27:48 | DEBUG    | routes.websocket:ws_endpoint:32 - Created new connection dictionary for room 80d085
2025-09-10 22:27:48 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting state to 1 players in room 80d085
2025-09-10 22:27:48 | INFO     | routes.websocket:ws_endpoint:14 - WebSocket connection attempt: room=80d085, player=5eb1899e-78e8-4784-aa20-6c4c1cbe27f4
2025-09-10 22:27:48 | WARNING  | routes.websocket:ws_endpoint:27 - Unknown player 5eb1899e-78e8-4784-aa20-6c4c1cbe27f4 connected to room 80d085
2025-09-10 22:27:48 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting state to 1 players in room 80d085
2025-09-10 22:27:48 | INFO     | routes.websocket:ws_endpoint:14 - WebSocket connection attempt: room=80d085, player=83051e4c-6756-4a81-ab58-1e945922e950
2025-09-10 22:27:48 | WARNING  | routes.websocket:ws_endpoint:27 - Unknown player 83051e4c-6756-4a81-ab58-1e945922e950 connected to room 80d085
2025-09-10 22:27:48 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting state to 2 players in room 80d085
2025-09-10 22:27:48 | INFO     | routes.websocket:ws_endpoint:14 - WebSocket connection attempt: room=80d085, player=83051e4c-6756-4a81-ab58-1e945922e950
2025-09-10 22:27:48 | WARNING  | routes.websocket:ws_endpoint:27 - Unknown player 83051e4c-6756-4a81-ab58-1e945922e950 connected to room 80d085
2025-09-10 22:27:48 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting state to 2 players in room 80d085
2025-09-10 22:27:48 | INFO     | routes.websocket:ws_endpoint:14 - WebSocket connection attempt: room=80d085, player=88b5937f-18df-4bfc-8d83-dfdb6357dbdf
2025-09-10 22:27:48 | WARNING  | routes.websocket:ws_endpoint:27 - Unknown player 88b5937f-18df-4bfc-8d83-dfdb6357dbdf connected to room 80d085
2025-09-10 22:27:48 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting state to 3 players in room 80d085
2025-09-10 22:27:49 | INFO     | routes.websocket:ws_endpoint:14 - WebSocket connection attempt: room=80d085, player=88b5937f-18df-4bfc-8d83-dfdb6357dbdf
2025-09-10 22:27:49 | WARNING  | routes.websocket:ws_endpoint:27 - Unknown player 88b5937f-18df-4bfc-8d83-dfdb6357dbdf connected to room 80d085
2025-09-10 22:27:49 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting state to 3 players in room 80d085
2025-09-10 22:27:49 | INFO     | routes.websocket:ws_endpoint:14 - WebSocket connection attempt: room=80d085, player=b08afdd5-5da0-4051-9d3d-0beec2d772ed
2025-09-10 22:27:49 | WARNING  | routes.websocket:ws_endpoint:27 - Unknown player b08afdd5-5da0-4051-9d3d-0beec2d772ed connected to room 80d085
2025-09-10 22:27:49 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting state to 4 players in room 80d085
2025-09-10 22:27:49 | INFO     | routes.websocket:ws_endpoint:14 - WebSocket connection attempt: room=80d085, player=b08afdd5-5da0-4051-9d3d-0beec2d772ed
2025-09-10 22:27:49 | WARNING  | routes.websocket:ws_endpoint:27 - Unknown player b08afdd5-5da0-4051-9d3d-0beec2d772ed connected to room 80d085
2025-09-10 22:27:49 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting state to 4 players in room 80d085
2025-09-10 22:27:49 | INFO     | routes.websocket:ws_endpoint:14 - WebSocket connection attempt: room=80d085, player=37ea0e3a-ba11-4fc8-a89f-d45f3bb8db44
2025-09-10 22:27:49 | WARNING  | routes.websocket:ws_endpoint:27 - Unknown player 37ea0e3a-ba11-4fc8-a89f-d45f3bb8db44 connected to room 80d085
2025-09-10 22:27:49 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting state to 5 players in room 80d085
2025-09-10 22:27:49 | INFO     | routes.websocket:ws_endpoint:14 - WebSocket connection attempt: room=80d085, player=37ea0e3a-ba11-4fc8-a89f-d45f3bb8db44
2025-09-10 22:27:49 | WARNING  | routes.websocket:ws_endpoint:27 - Unknown player 37ea0e3a-ba11-4fc8-a89f-d45f3bb8db44 connected to room 80d085
2025-09-10 22:27:49 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting state to 5 players in room 80d085
2025-09-10 22:27:49 | INFO     | routes.websocket:ws_endpoint:14 - WebSocket connection attempt: room=80d085, player=1ba61ea3-4c5a-451a-aec8-4257f49370a5
2025-09-10 22:27:49 | WARNING  | routes.websocket:ws_endpoint:27 - Unknown player 1ba61ea3-4c5a-451a-aec8-4257f49370a5 connected to room 80d085
2025-09-10 22:27:49 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting state to 6 players in room 80d085
2025-09-10 22:27:49 | INFO     | routes.websocket:ws_endpoint:14 - WebSocket connection attempt: room=80d085, player=1ba61ea3-4c5a-451a-aec8-4257f49370a5
2025-09-10 22:27:49 | WARNING  | routes.websocket:ws_endpoint:27 - Unknown player 1ba61ea3-4c5a-451a-aec8-4257f49370a5 connected to room 80d085
2025-09-10 22:27:49 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting state to 6 players in room 80d085
2025-09-10 22:32:37 | INFO     | routes.websocket:ws_endpoint:14 - WebSocket connection attempt: room=b9131d, player=83051e4c-6756-4a81-ab58-1e945922e950
2025-09-10 22:32:37 | INFO     | routes.websocket:ws_endpoint:25 - Player 83051e4c-6756-4a81-ab58-1e945922e950 connected to room b9131d (reconnection: False)
2025-09-10 22:32:37 | DEBUG    | routes.websocket:ws_endpoint:32 - Created new connection dictionary for room b9131d
2025-09-10 22:32:37 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting state to 1 players in room b9131d
2025-09-10 22:32:37 | DEBUG    | routes.websocket:ws_endpoint:55 - Received message from 83051e4c-6756-4a81-ab58-1e945922e950 in room b9131d: type=sync
2025-09-10 22:32:37 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting state to 1 players in room b9131d
2025-09-10 22:32:49 | DEBUG    | routes.websocket:ws_endpoint:55 - Received message from 83051e4c-6756-4a81-ab58-1e945922e950 in room b9131d: type=select_team
2025-09-10 22:32:49 | INFO     | routes.websocket:ws_endpoint:58 - Player 83051e4c-6756-4a81-ab58-1e945922e950 selecting team A in room b9131d
2025-09-10 22:32:49 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting state to 1 players in room b9131d
2025-09-10 22:33:01 | INFO     | routes.websocket:ws_endpoint:14 - WebSocket connection attempt: room=b9131d, player=b08afdd5-5da0-4051-9d3d-0beec2d772ed
2025-09-10 22:33:01 | INFO     | routes.websocket:ws_endpoint:25 - Player b08afdd5-5da0-4051-9d3d-0beec2d772ed connected to room b9131d (reconnection: False)
2025-09-10 22:33:01 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting state to 2 players in room b9131d
2025-09-10 22:33:02 | DEBUG    | routes.websocket:ws_endpoint:55 - Received message from b08afdd5-5da0-4051-9d3d-0beec2d772ed in room b9131d: type=sync
2025-09-10 22:33:02 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting state to 2 players in room b9131d
2025-09-10 22:33:02 | DEBUG    | routes.websocket:ws_endpoint:55 - Received message from b08afdd5-5da0-4051-9d3d-0beec2d772ed in room b9131d: type=select_team
2025-09-10 22:33:02 | INFO     | routes.websocket:ws_endpoint:58 - Player b08afdd5-5da0-4051-9d3d-0beec2d772ed selecting team A in room b9131d
2025-09-10 22:33:02 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting state to 2 players in room b9131d
2025-09-10 22:33:19 | INFO     | routes.websocket:ws_endpoint:14 - WebSocket connection attempt: room=b9131d, player=37ea0e3a-ba11-4fc8-a89f-d45f3bb8db44
2025-09-10 22:33:19 | INFO     | routes.websocket:ws_endpoint:25 - Player 37ea0e3a-ba11-4fc8-a89f-d45f3bb8db44 connected to room b9131d (reconnection: False)
2025-09-10 22:33:19 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting state to 3 players in room b9131d
2025-09-10 22:33:19 | DEBUG    | routes.websocket:ws_endpoint:55 - Received message from 37ea0e3a-ba11-4fc8-a89f-d45f3bb8db44 in room b9131d: type=sync
2025-09-10 22:33:19 | DEBUG    | services.websocket_service:broadcast:20 - Broadcasting state to 3 players in room b9131d
2025-09-10 22:33:20 | DEBUG    | routes.websocket:ws_endpoint:55 - Received message from 37ea0e3a-ba11-4fc8-a89f-d45f3bb8db44 in room b9131d: type=select_team
